Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,     55,    55,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, activoFijo_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Petals EIP (embedded)).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(45eb43b0-3943-45a3-a692-a4786cf72dd2)"
     1,     52,    52,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, retiroInventarioMsg_properties.html)"
     1,     49,    49,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.290.html)"
     1,     58,    58,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, traficos_properties.html)"
     1,     49,    49,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.254.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,GFC Logging (embedded)).as(default)"
     1,     45,    45,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, isam_en_US_properties.html)"
     1,     51,    51,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.415.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,WSS4J (embedded)).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.rules.apps.java.model.WindupJavaConfigurationModel).gremlin().has(classNotFoundAnalysisEnabled,EQUALS,true).as(default)"
     1,     92,    92,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, message_properties.html)"
     1,     46,    46,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, tipoTransporte_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Google Guice (embedded)).as(default)"
     1,    125,   125,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.385.html)"
     1,     60,    60,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, cambiarValorCotizacion_properties.html)"
     1,     62,    62,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, modelo_properties.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,H2 Driver).as(default)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@2dd107f.as(iqi.288475f5-cd73-45b1-8b13-e1ca71fe2159)
     1,     76,    76,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.327.html)"
     1,    156,   156,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.346.html)"
     1,     68,    68,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, subTipoCompra_properties.html)"
     1,     64,    64,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.9.html)"
     1,     41,    41,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.161.html)"
   928,   1151,     1,24, abstractGetPrettyPathForFile
     1,     25,    25,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.314.html)"
     1,    108,   108,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, paramGaraProvServ_properties.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@5711f5e.as(iqi.2a0e133d-a75a-49b7-82ca-f17c13c94002)
     1,     28,    28,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.174.html)"
     1,     59,    59,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.318.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Java Transaction API (embedded)).as(default)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Handlebars (embedded)).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(91dbdcb1-510e-4d51-ae80-8fc549db8872)"
     1,     71,    71,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, RecibirMail_java.html)"
     1,     77,    77,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.405.html)"
     1,    266,   266,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, transmision_properties.html)"
     1,     55,    55,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, crucesalidascaja_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Mycontainer JTA (embedded)).as(default)"
     1,     30,    30,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.410.html)"
     1,     65,    65,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AnnotationProcessorHider_java.html)"
     1,     65,    65,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.380.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,RichFaces (embedded)).as(default)"
     1,     47,    47,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.398.html)"
     1,    460,   460,00, getArchiveSHA1ToPathMapper
     1,     85,    85,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, periodo_properties.38.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Santuario (embedded)).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Sirona JTA (embedded)).as(default)"
     1,     48,    48,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, semaforoTableroControl_properties.html)"
     1,     93,    93,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ControlPanel_java.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spock (embedded)).as(default)"
     1,     81,    81,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AdministracionUnidadesNegocio_properties.html)"
     1,     23,    23,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.351.html)"
     1,     59,    59,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ToolkitFactory_java.html)"
     1,     36,    36,00, "FreeMarkerIterationOperation.render(/reports/templates/embedded.ftl, tattletale_SIGRU_ear.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(50a01dc3-de9b-41dc-9b01-29f24d71f485)"
     1,     47,    47,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.341.html)"
     1,     67,    67,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.93.html)"
     1,     62,    62,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.313.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@7f5423e5.as(iqi.f5f67ce6-6fd3-457d-9ba6-b89a419cbf8c)
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@5c0329b2.as(iqi.68cc883b-e414-46b5-8de5-64055770d45a)
     1,     53,    53,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.225.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MRules (embedded)).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,RocketMQ Client (embedded)).as(default)"
     1,     38,    38,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.400.html)"
     1,      0,     0,00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.EjbSessionBeanModel).as(default)
     1,     85,    85,00, Query.fromType(org.jboss.windup.rules.apps.java.model.JavaSourceFileModel).as(default)
     1,      0,     0,00, "Query.fromType(org.jboss.windup.rules.apps.javaee.model.EjbSessionBeanModel).gremlin().has(sessionType,EQUALS,Stateless).as(default)"
     1,     47,    47,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.100.html)"
     1,     52,    52,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.89.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(80e47e21-43f6-4ee7-b22b-7a2a315e4925)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@4f717785.as(iqi.ec7d391d-5b14-452d-b15a-753ffbdc4494)
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(b59adb11-b059-4155-a321-e437e2664598)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD_CALL]).as(327b9bd1-3731-47bc-b6ab-37728f30317a)"
     1,     94,    94,00, "FreeMarkerIterationOperation.render(/reports/templates/about_windup.ftl, about_SIGRU_ear.html)"
     1,     16,    16,00, "Query.fromType(org.jboss.windup.rules.apps.java.model.JarArchiveModel).gremlin().has(fileName,REGEX,jboss-seam.*\.jar$).as(default)"
     1,     70,    70,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.261.html)"
     1,     45,    45,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, descuentoMostrador_properties.66.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@2d167c42.as(iqi.dbc829bc-51f4-40d7-9322-3b8e7b773b9c)
     1,    163,   163,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, inactivarAf_properties.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.graph.model.WindupConfigurationModel).gremlin().has(csv,EQUALS,true).as(default)"
     1,     30,    30,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.321.html)"
     1,    122,   122,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, TransmisorCorreo_java.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,PicketLink (embedded)).as(default)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@23370eb3.as(iqi.6bb9f313-de24-46a7-989c-40a0ad9d4f10)
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Lumberjack (embedded)).as(default)"
     1,     61,    61,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, terminoNegociacion_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(f5c987be-2d83-4f2c-916c-cfca384fda83)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OpenWS (embedded)).as(default)"
     1,    690,   690,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, tiposEvalua_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JSecurity (embedded)).as(default)"
     1,     44,    44,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, InalambriaWS2Soap_java.html)"
     1,    696,   696,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, roles_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Play (embedded)).as(default)"
     1,     46,    46,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.262.html)"
     1,    103,   103,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, InalambriaWS2SoapStub_java.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@117aee60.as(iqi.a5f03a3d-3b69-4d4a-b9ac-8ec77dd4573e)
     1,     75,    75,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, tiposEvalua_properties.27.html)"
     1,      9,     9,00, Query.fromType(org.jboss.windup.rules.apps.java.archives.model.IdentifiedArchiveModel).as(default)
     1,     53,    53,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, reporteReclamosV2_properties.html)"
     1,    103,   103,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.130.html)"
     1,     47,    47,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.386.html)"
     1,     63,    63,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pedidosTab_xhtml.html)"
     1,     77,    77,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, parmetrosProperties_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(b4ed7768-673e-468d-8f9e-ec2f42ef2f71)"
     1,    116,   116,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.233.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@32c12dd8.as(iqi.4b9b67a2-ccc1-4f98-8b51-20f9644ce7d4)
     1,      1,     1,00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.NamespaceMetaModel).gremlin().has(namespaceURI,EQUALS,http://java.sun.com/xml/ns/persistence).as(default)"
     1,     67,    67,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.17.html)"
     1,     64,    64,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.166.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,PicketBox (embedded)).as(default)"
     1,     70,    70,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, despliegue_properties.html)"
     1,     96,    96,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Factura_properties.html)"
     1,     79,    79,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, listadosSeleccionMsg_properties.html)"
     1,     55,    55,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, cambioPlacaPreasignada_properties.html)"
     1,    111,   111,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SpellFindCaptchaFactory_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(183b41c9-8387-464f-9571-af9ed6bf2d20)"
     1,     82,    82,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, tipoNegocio_properties.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@7ab4d3dd.as(iqi.50e51457-5fd2-4e34-8ae2-311117208601)
     1,     34,    34,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.322.html)"
     1,     60,    60,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, GimpyFactory_java.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Easy Rules (embedded)).as(default)"
     1,    435,   435,00, "FreeMarkerIterationOperation.render(/reports/templates/techReport-boxes.ftl, techReport_SIGRU_ear.html)"
     1,     24,    24,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, estadoFisico_properties.html)"
     1,     98,    98,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, consultarAtribucionesAutorizador_properties.html)"
     1,     53,    53,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, tipoMotivacion_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(d9437fb8-0b64-4adc-8baa-59b5fe852b29)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JCache (embedded)).as(default)"
     1,     59,    59,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DetalleLicitacionMB_java.html)"
     1,     73,    73,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DateTimeFormatter_java.html)"
  1244,    134,     0,11, GraphService.findAllByProperty(name)
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(f7909c74-c9b7-42a5-80c2-b385863e02d8)"
     1,     49,    49,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.173.html)"
     1,      1,     1,00, Query.fromType(org.jboss.windup.rules.apps.java.ip.HardcodedIPLocationModel).as(default)
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@3b647c42.as(iqi.1d404694-7729-4182-921a-33d9e77fd187)
     1,     97,    97,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, informeAuditoria_properties.html)"
     1,    112,   112,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, respuestaPreasignarPlaca_properties.html)"
     1,    101,   101,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, motivosRetiroMsg_properties.html)"
     1,      0,     0,00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JPAPersistenceUnitModel).as(default)
     1,     63,    63,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, corrigeDiagnosticoTecnico_properties.html)"
     1,     76,    76,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, creaDiagnosticoTecnico_properties.html)"
     1,    165,   165,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, cargaPlanoEfecty_properties.html)"
     1,    121,   121,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, paramGaraProvSucu_properties.html)"
     1,     60,    60,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, WebServiceEmitirSOATSoap_java.html)"
     1,     51,    51,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, informacionVehiculosMsj_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OACC (embedded)).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(66ad9464-0d12-4753-909b-c37cdd69537c)"
     1,     63,    63,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, diagnosticoMotor_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(99fabe9a-ad33-4932-8219-2514dd32a940)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(1eebbe51-bc22-46fb-a093-2ea93702c55f)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Test Interface (embedded)).as(default)"
     1,    337,   337,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.221.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring (embedded)).as(default)"
     5,     87,    17,40, Query.fromType(org.jboss.windup.graph.model.ArchiveModel).as(default)
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Anakia (embedded)).as(default)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OWASP ESAPI (embedded)).as(default)"
     1,     67,    67,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, arribo_properties.html)"
     1,     97,    97,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CaptchaQuestionHelper_java.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@3813afce.as(iqi.cb126143-5046-46f4-8dc5-45370266daf4)
     1,     25,    25,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, controlFondo_properties.59.html)"
     1,     94,    94,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, matrizAutorizador_properties.html)"
     1,      0,     0,00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.HibernateEntityModel).as(default)
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@3609befd.as(iqi.f68e390f-4d0d-4d64-94e5-cf0f57963d8d)
     1,     79,    79,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.5.html)"
     1,    138,   138,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, manifestaciones_properties.html)"
  6199,    788,     0,13, GraphService.findAllByProperty(stats.name)
     1,     41,    41,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, obsequios_properties.html)"
     1,     65,    65,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, consultarVehiGara_properties.html)"
     1,     62,    62,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.312.html)"
     1,     70,    70,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.355.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Logback (embedded)).as(default)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Dynacache (embedded)).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Silk DI (embedded)).as(default)"
     1,     43,    43,00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,weblogic-web-app).as(default)"
     1,     50,    50,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, subgrupoAf_properties.html)"
     1,     72,    72,00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,web-app).has(fileName,NOT_EQUALS,geronimo-web.xml).as(default)"
     1,    167,   167,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.319.html)"
     1,    154,   154,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.220.html)"
     1,    174,   174,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.413.html)"
     1,     26,    26,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, marcarVehiGaraMan_properties.html)"
     1,     52,    52,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.381.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Teiid (embedded)).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(221690c4-5143-4ed2-81f7-1e71abae1719)"
     1,     38,    38,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.259.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@a191910.as(iqi.36feb738-d38b-469a-b477-2a2642514949)
     1,    112,   112,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.299.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JSTL (embedded)).as(default)"
     1,     39,    39,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, certificadoOriginal_properties.80.html)"
     1,    153,   153,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.194.html)"
     1,     59,    59,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.384.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JSF (embedded)).as(default)"
     1,     29,    29,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, PatchFixesHider_java.html)"
     1,     32,    32,00, Query.fromType(org.jboss.windup.graph.model.ArchiveModel).gremlin()org.jboss.windup.config.query.Query$1@36038ed9.as(default)
   558,    163,     0,29, GraphService.findAllByProperty(mavenIdentifier)
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Cfg Engine (embedded)).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(cd5dca30-7b1b-4df0-9462-6fd28b1dd710)"
     1,     33,    33,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.252.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(420d88f5-902e-4d35-8f12-caa2b3740831)"
     1,    508,   508,00, "FreeMarkerIterationOperation.render(/reports/templates/dependency_report.ftl, dependency_report_SIGRU_ear.html)"
     1,     65,    65,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, IngresoTaller_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD_CALL]).as(e791cdcc-fd56-4569-8c23-dd475107ecd7)"
     1,     37,    37,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, devolverConformeRecepcion_properties.html)"
     1,     51,    51,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, WebServiceEmitirSOATSoapProxy_java.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(d3d07d45-02b1-4fc2-a256-4d2eaa2ac8f8)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(5cac432d-7c34-4d2b-aa92-5530615e1215)"
     1,     72,    72,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.18.html)"
     1,    156,   156,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, AdministracionCentrosCosto_properties.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@2bfe6c13.as(iqi.72071a21-89fa-4ff5-82b0-7ed30913514d)
     1,     57,    57,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, IfxConnectionPoolManager_java.html)"
     1,     52,    52,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.409.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(d53e5857-2a6d-4d92-bafd-2dde3531f257)"
     1,    691,   691,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.4.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MyFaces (embedded)).as(default)"
     1,     62,    62,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, clienteMsg_properties.html)"
     1,    220,   220,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.326.html)"
     1,     51,    51,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.103.html)"
